px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.21	23.9541	2.60667	0.21689	-0.048919	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.70257
68.2693	24.3595	2.53901	0.184718	-0.0386009	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.042438
68.3541	24.3911	2.62361	0.202631	-0.0209309	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.96178
70.8102	24.879	2.77871	0.225431	0.00704502	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.236135
70.7748	24.8634	2.49715	0.189547	-0.0507417	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.692957
72.8961	24.7214	2.47622	-0.158945	-0.237284	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.159423
72.9437	24.7378	2.49221	-0.157588	-0.243211	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.660329
75.0145	25.2383	2.13971	0.274893	0.175805	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.14681
75.0015	25.2338	2.12109	0.269979	0.172048	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0461013
77.1122	24.9476	2.19803	-0.308575	-0.29959	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.915466
77.1353	24.9503	2.1672	-0.343256	-0.351747	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.203987
79.0998	25.0095	1.91162	0.0582713	0.121502	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.47831
79.1071	25.0138	1.90298	0.0603167	0.117916	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0339757
80.8044	24.8749	1.95642	-0.0476126	-0.0224398	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0884888
80.8479	24.8794	1.83511	-0.110878	-0.129324	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.28388
82.5974	24.6368	2.0203	-0.125513	-0.0562742	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.26492
82.5723	24.6244	1.8713	-0.208465	-0.190174	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.36263
84.1668	24.5397	1.82501	-0.0299184	0.0336144	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.252573
84.1659	24.5412	1.75503	-0.0520711	-0.0122581	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.137826
85.6434	23.8232	1.79266	-0.551297	-0.307426	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.397052
85.6994	23.8434	1.8629	-0.497987	-0.245459	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.841134
86.9681	23.4965	1.38401	-0.342579	-0.0144211	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.06584
87.0732	23.531	1.44012	-0.290832	-0.00328659	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.63071
88.7537	22.798	2.06095	-0.391842	-0.0576173	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.9227
88.6837	22.7669	1.92651	-0.558766	-0.271298	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.06733
89.5651	22.2635	1.13761	-0.674381	-0.207945	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.80172
89.6247	22.2791	1.21298	-0.586036	-0.0917955	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.736021
90.5065	21.664	1.22332	-0.57485	-0.028313	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0307466
90.5923	21.6884	1.31738	-0.445546	0.0950896	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.74037
91.7062	21.1178	1.42742	-0.36299	0.0895266	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0559951
91.7521	21.1261	1.37214	-0.434264	-0.0598542	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.13759
92.8543	20.9375	1.27982	-0.0944409	0.175301	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.318251
92.9081	20.9623	1.17449	-0.0857637	0.119944	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.68242
93.5226	20.254	0.837336	-0.791649	-0.362159	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	2.14048
93.5889	20.2968	1.01923	-0.570242	-0.0980889	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.37759
95.2012	19.6633	1.96627	0.0179578	0.327418	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	5.74073
95.0005	19.6543	1.41221	-0.258227	0.0293653	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	7.84246
95.5636	19.6845	0.880589	-0.0636051	0.120938	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.73942
95.567	19.6852	0.875043	-0.0628955	0.119653	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.00768507
96.2722	19.1961	0.876291	-0.657503	-0.289895	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.788091
96.3205	19.2189	0.984815	-0.535105	-0.164551	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.597741
97.4573	18.7283	1.4826	-0.216571	0.121051	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.86168
97.4126	18.7216	1.3198	-0.350081	-0.0521272	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.718776
98.2308	18.3682	1.13715	-0.364366	-0.0342453	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.172863
98.2407	18.3692	1.07877	-0.404571	-0.108667	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.343447
99.0296	17.385	1.32841	-1.09129	-0.436061	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.702289
99.0496	17.4294	1.33762	-0.750791	-0.0130916	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.09382
99.9889	16.959	1.11662	-0.411626	0.188904	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.589132
100.056	16.9751	1.11252	-0.383741	0.168539	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.88674
101.17	16.5404	1.39086	-0.208052	0.171372	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.420505
101.141	16.532	1.2405	-0.306671	0.045256	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.417549
102.354	16.3915	1.44407	0.0672135	0.23357	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.496109
102.267	16.383	1.2032	0.0139231	0.183694	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.61817
103.037	15.4044	0.971894	-1.08795	-0.54945	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.84809
102.992	15.4704	1.10601	-0.631039	0.00640928	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.15488
104.075	15.2401	1.17889	0.00139691	0.3761	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.18737
104.042	15.228	1.20902	-0.0314233	0.36265	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.599787
105.502	14.4741	1.59568	-0.763386	-0.27584	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	2.23645
105.461	14.488	1.62648	-0.639719	-0.122878	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.737958
106.812	14.0265	1.51482	-0.246756	0.189597	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.782133
106.761	14.014	1.52108	-0.265516	0.203134	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.1358
108.076	13.6626	1.59605	-0.118034	0.168957	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0324409
108.088	13.6643	1.6184	-0.109322	0.177764	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0324887
109.525	13.571	1.69962	0.0602498	0.172582	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0452623
109.484	13.5655	1.59875	0.044906	0.158411	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.382265
111.051	12.6127	1.7091	-0.878356	-0.483176	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.71541
111.134	12.6745	1.95795	-0.552124	-0.0476413	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.7867
112.892	12.4599	1.77245	0.0289558	0.343316	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.33258
112.889	12.4552	1.8076	0.0253962	0.344034	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.0717039
114.771	12.5495	2.06565	0.171974	0.21758	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.559446
114.786	12.5517	1.98301	0.167522	0.219374	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.221247
116.674	12.12	2.01888	-0.36295	-0.231853	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.857098
116.715	12.142	2.23614	-0.254545	-0.0784989	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.723256
118.916	11.9947	2.44543	0.0710579	0.177097	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.786924
118.9	11.9989	2.32046	0.0747359	0.176796	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.183262
120.703	12.293	2.24871	0.263603	0.184779	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0504607
120.745	12.2966	2.28473	0.26071	0.180917	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.435277
123.501	12.8195	2.83179	0.0488693	-0.0703648	123.568	12.8297	122.95	12.5114	2.29835	0.246599	3.02309
123.423	12.8058	2.57605	0.0370935	-0.0918696	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.5357
124.93	12.7752	2.24751	-0.074124	-0.105528	124.894	12.7743	125.242	12.8125	2.37624	0.369827	1.13328
125.029	12.791	2.56097	-0.0301026	-0.0373042	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.44605
127.809	13.3163	2.88806	0.403913	0.259104	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.62175
127.748	13.3122	2.81288	0.410482	0.277725	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.926859
129.96	13.7146	2.53782	0.219666	-0.0133106	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.668455
130.028	13.7192	2.54175	0.200366	-0.0209763	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.31291
132.094	14.5022	2.55619	0.397739	0.117141	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0782439
132.164	14.5042	2.7223	0.348959	0.044489	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.14572
135.023	15.0422	3.08332	0.0180576	-0.194854	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.56819
135.023	15.0324	2.86844	-0.020079	-0.24877	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.472612
137.56	16.1963	2.80994	0.609471	0.307202	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.26637
137.59	16.1802	3.0627	0.479786	0.0975967	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.706239
140.313	17.0112	3.08124	0.20641	-0.14377	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.425379
140.318	17.0103	3.03875	0.208766	-0.135579	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0763584
142.887	17.9854	3.08618	0.381403	0.0615462	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.164634
142.841	17.98	3.06098	0.384489	0.0648688	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.515303
145.382	19.1585	3.15194	0.436676	0.0561738	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0682725
